x-coordinate,y-coordinate,z-coordinate
9.286544297,-2.488011925,-0.7548487665
15.08,-2.488156786,-0.7543711359
10.88596653,-2.489946236,-0.7484435467
14.8183914,0.9568,-0.7481071466
1.414482362,0.9568,-0.746720362
15.66834661,0.9568,-0.746061919
11.32074285,-2.491457007,-0.7433989399
-0.7760536128,0.9568,-0.7343048821
14.97037416,0.9568,-0.7312650297
11.62115492,-2.496899871,-0.7249076025
17.03794718,-1.550028179,-0.7237786107
14.03431182,-2.497550625,-0.7226623518
12.62109983,-2.65,-0.7185009742
12.62109457,-2.499738213,-0.7150586481
2.796026303,0.9568,-0.7126459532
13.55109425,0.9568,-0.7086794778
15.41173091,0.9568,-0.7083877747
11.62123987,-2.65,-0.7057527448
7.269586074,-2.503046933,-0.7033889745
-0.2870429692,0.9568,-0.7024802363
2.01832653,-2.504649251,-0.6976619019
12.79201947,-2.505479945,-0.6946727595
15.1684125,0.9568,-0.6928747291
16.68400445,0.9568,-0.6762817426
13.11544775,-2.510947413,-0.6746429346
2.806842901,-2.512696497,-0.6680990301
17.40345111,0.9568,-0.6679137033
12.78644945,0.9568,-0.666865652
12.23899489,0.9568,-0.6650747731
1.74336522,0.9568,-0.6610916585
13.11836814,0.9568,-0.6606167391
3.529372597,-2.517719047,-0.648915095
11.48604983,-2.518211229,-0.6470024796
16.0610795,0.9568,-0.641053468
11.11796151,-2.520265863,-0.6389522535
4.347069698,-2.521669478,-0.6333901207
5.633737998,0.9568,-0.6301220214
0.1151642783,0.9568,-0.6274034431
13.71881543,0.9568,-0.6273951617
14.71862566,1.01,-0.6271785984
1.114975077,1.01,-0.6271405424
0.1150768655,1.01,-0.6144253519
13.71872854,1.01,-0.6143677441
14.71870719,0.9568,-0.6141932759
1.115055317,0.9568,-0.614111414
14.86808457,0.9568,-0.6119166949
1.31590753,0.9568,-0.6093403833
1.49473234,0.9568,-0.603497595
10.60106418,-2.529172265,-0.6027334865
12.91868213,-2.529531364,-0.6012246501
-1.634815697,0.9568,-0.5957557505
-0.553200066,0.9568,-0.5918069537
9.876404929,-2.532747104,-0.5875305158
-1.767943353,-1.814918354,-0.5834789385
11.64285151,-2.53637218,-0.5716783742
13.37337248,-2.537871055,-0.5649871762
12.74286864,-2.538109693,-0.5639141643
-0.1104050217,0.9568,-0.5633786308
12.59660988,-2.65,-0.5629797289
12.59633915,-2.538501188,-0.562149198
13.38000032,0.9568,-0.5579662023
13.70394634,-2.540471938,-0.5531747777
11.64967965,-2.65,-0.5509272522
11.32990832,-2.542070511,-0.5457815637
11.2563339,0.9568,-0.5396509612
8.604617577,-2.547596123,-0.5193784672
6.671666254,0.9568,-0.5171317325
6.565310075,-2.548661331,-0.5141258802
3.582687537e-15,-2.548875861,-0.5130612467
15.00319,0.9568,-0.5099813876
-2.543554988,-0.1798032591,-0.5079358342
-1.109497141,0.9568,-0.5077481146
13.57491769,0.9568,-0.5049184428
2.333602325,0.9568,-0.5028792818
11.48646751,-2.551669598,-0.4989812232
1.952766975,0.9568,-0.4964412122
14.82561977,0.9568,-0.4839202054
14.48178056,-2.55556884,-0.4786103877
1.223231801,0.9568,-0.4731476009
0.1367341454,0.9568,-0.4719532184
13.74043225,0.9568,-0.4717996028
1.093292836,1.01,-0.4716012938
14.696939,1.01,-0.4715844115
10.91022743,-2.557910532,-0.4659331613
17.43950642,-0.9884556152,-0.4644189445
13.07936052,-2.558561736,-0.4623438581
10.29566862,-2.558826678,-0.4608752911
0.1407073069,1.01,-0.4594876752
13.74438033,1.01,-0.4594225359
1.089321471,0.9568,-0.459171518
14.69296783,0.9568,-0.4591566776
-2.374040351,0.9568,-0.4565809569
0.01147832834,0.9568,-0.4556734183
1.381412292,0.9568,-0.4541676072
-0.3347567098,0.9568,-0.4522537132
12.85864705,-2.563954496,-0.4314363687
