Node,X[m],Y[m],Z[m],predicted_CR
43,-18.2203312,12.2416391,-7.32417107,0.009033872
44,-18.2203312,12.2416391,-7.3880558,0.009033872
45,-17.5797348,12.271101,-8.666070940000001,0.009033872
46,-17.5797348,12.271101,-8.6021595,0.009033872
47,-17.6458168,12.2611341,-8.6021595,0.009033872
48,-17.6458168,12.2611341,-8.666070940000001,0.009033872
49,-19.8154697,12.5880909,-8.6021595,0.009033872
50,-19.8154697,12.5880909,-8.53824806,0.009033872
51,-19.7532349,12.5761013,-8.53824806,0.009033872
52,-19.7532349,12.5761013,-8.6021595,0.009033872
53,-18.7857361,12.271101,-8.3465395,0.009033872
54,-18.7857361,12.271101,-8.41042423,0.009033872
55,-18.7315483,12.2647648,-8.41042423,0.009033872
56,-18.7315483,12.2647648,-8.3465395,0.009033872
57,-17.7422104,12.2502956,-8.02706337,0.009033872
58,-17.7422104,12.2502956,-7.96315193,0.009033872
59,-17.8369198,12.2416391,-7.96315193,0.009033872
60,-17.8369198,12.2416391,-8.02706337,0.009033872
61,-20.0095158,12.6049995,-7.96315193,0.009033872
62,-20.0095158,12.6049995,-7.89924002,0.009033872
63,-19.9456196,12.6049995,-7.89924002,0.009033872
64,-19.9456196,12.6049995,-7.96315193,0.009033872
65,-17.4537582,12.2639217,-8.6021595,0.009033872
66,-17.4537582,12.2639217,-8.666070940000001,0.009033872
67,-17.389719,12.2520218,-8.666070940000001,0.009033872
68,-17.389719,12.2520218,-8.6021595,0.009033872
69,-18.3469486,12.258604,-6.74910259,0.009033872
70,-18.3469486,12.258604,-6.68519068,0.009033872
71,-18.411478,12.2614498,-6.68519068,0.009033872
72,-18.411478,12.2614498,-6.74910259,0.009033872
73,-17.8407364,12.5761013,-8.79389477,0.009033872
74,-17.8407364,12.5761013,-8.72998333,0.009033872
75,-17.773735,12.5761013,-8.72998333,0.009033872
76,-17.773735,12.5761013,-8.79389477,0.009033872
77,-20.1725159,12.2416391,-8.92166328,0.009033872
78,-20.1725159,12.3274698,-8.92166328,0.009033872
79,-20.1725159,12.3274698,-8.98557568,0.009033872
80,-20.1725159,12.2416391,-8.98557568,0.009033872
81,-17.4535313,12.6049995,-9.43284798,0.009033872
82,-17.4535313,12.6049995,-9.36896324,0.009033872
83,-17.3896351,12.6049995,-9.36896324,0.009033872
84,-17.3896351,12.6049995,-9.43284798,0.009033872
85,-17.9647236,12.2416391,-7.3880558,0.009033872
86,-17.9647236,12.2416391,-7.32417107,0.009033872
87,-18.0286198,12.2416391,-7.32417107,0.009033872
88,-18.0286198,12.2416391,-7.3880558,0.009033872
89,-18.4102535,12.5883722,-9.8162632,0.009033872
90,-18.4102535,12.5883722,-9.75235176,0.009033872
91,-18.350235,12.5761013,-9.75235176,0.009033872
92,-18.350235,12.5761013,-9.8162632,0.009033872
93,-20.1725159,12.2416391,-4.95990229,0.009033078
94,-20.1725159,12.3274698,-4.95990229,0.009033078
95,-20.1725159,12.3274698,-5.02378654,0.009033078
96,-20.1725159,12.2416391,-5.02378654,0.009033078
97,-18.9876461,12.2619915,-7.70755959,0.009033872
98,-18.9876461,12.2619915,-7.77147102,0.009033872
99,-18.919735,12.271101,-7.77147102,0.009033872
100,-18.919735,12.271101,-7.70755959,0.009033872
101,-17.6458168,12.2611341,-7.96315193,0.009033872
102,-17.6458168,12.2611341,-8.02706337,0.009033872
103,-17.5797348,12.271101,-8.02706337,0.009033872
104,-17.5797348,12.271101,-7.96315193,0.009033872
105,-18.5442352,12.271101,-6.11004019,0.009033626
106,-18.5442352,12.271101,-6.04615545,0.009033462
107,-18.6035748,12.2643738,-6.04615545,0.009033406
108,-18.6035748,12.2643738,-6.11004019,0.009033626
109,-18.156435,12.2416391,-6.74910259,0.009033872
110,-18.156435,12.2416391,-6.68519068,0.009033872
111,-18.2203312,12.2416391,-6.68519068,0.009033872
112,-18.2203312,12.2416391,-6.74910259,0.009033872
113,-17.6438637,12.5888672,-8.79389477,0.009033872
114,-17.6438637,12.5888672,-8.72998333,0.009033872
115,-17.6121159,12.5962973,-8.72998333,0.009033872
116,-17.6121159,12.5962973,-8.79389381,0.009033872
117,-18.028635,12.5822058,-8.15483189,0.009033872
118,-18.028635,12.5822058,-8.09094715,0.009033872
119,-17.9747353,12.5761013,-8.09094715,0.009033872
120,-17.9747353,12.5761013,-8.15483189,0.009033872
121,-17.8369198,12.2416391,-7.32417107,0.009033872
122,-17.8369198,12.2416391,-7.3880558,0.009033872
123,-17.7422104,12.2502956,-7.3880558,0.009033872
124,-17.7422104,12.2502956,-7.32417154,0.009033872
125,-18.0262604,12.7747688,-9.93344688,0.009033872
